linha_transmissao,Tensao,concessionaria,Extensao,ano_operacao,extensao_km
"LT 230 kV Santa Maria 3 - Dona Francisca, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,67.11134116,2001,0.672879120581265
"LT 230 kV Gravataí 3 - Osório 3, C1",230,CPFL SUL II - CPFL TRANSMISSÃO DE ENERGIA SUL II LTDA.,65.9637847,2023,0.675277655026971
"LT 230 kV Lajeado Grande - Caxias do Sul 5, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,65.55012145,2005,0.667688965974562
"LT 230 kV Atlântida 2 - Torres 2, C1",230,EDP Brasil S.A.,65.45574354,2022,0.618219638712958
"LT 230 kV Farroupilha - Scharlau 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,65.0526369,2015,0.610579598021095
"LT 230 kV Candelária 2 - Itaúba, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,64.85876195,2020,0.63012775302427
"LT 230 kV Santa Maria 3 - Dona Francisca, C2",230,ATE VI - ATE VI - Campos Novos Transmissora de Energia S.A.,64.6883197,2011,0.652072950203096
"LT 230 kV Missões - Santo Ângelo, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,64.33301616,2010,0.647876726512093
"LT 230 kV Nova Prata 2 - Vila Maria, C1",230,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,62.0492422,2022,0.602403784100148
"LT 230 kV Passo Real - Cruz Alta 2, C1",230,CEEE-T - COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T,61.3188228,2022,0.595251064024895
"LT 230 kV Santa Marta - Tapera 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,60.50202314,2005,0.582810191462023
"LT 230 kV Nova Prata 2 - Vila Maria, C2",230,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,60.0464484,2022,0.585609149093286
"LT 230 kV Campo Bom - Caxias, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,59.81483547,2002,0.567717162467493
"LT 230 kV Campo Bom - Caxias, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,59.75831325,2002,0.567095471186767
"LT 230 kV Barra Grande - Lagoa Vermelha 2, C1",230,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,58.09500494,2005,0.548035175446292
"LT 230 kV Passo Real - Tapera 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,57.97653029,2005,0.548940648024014
"LT 230 kV Taquara - Osório 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,56.8651703,2003,0.568598383661606
"LT 230 kV Biguaçu - Desterro, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,56.52890416,2008,0.484445865622871
"LT 230 kV Maçambará - São Borja 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,53.62634357,0,0.489037926633748
"LT 230 kV Cidade Industrial - Charqueadas 3, C1",230,,52.22190084,2024,0.525614255137559
"LT 230 kV Bagé 2 - Candiota 2, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,51.0503048,2022,0.506769024863235
"LT 230 kV Santo Ângelo - Santa Rosa 1, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,50.18129325,1999,0.46241145066445
"LT 230 kV Bagé 2 - Candiota 2, C1",230,VINEYARDS - SE VINEYARDS TRANSMISSAO DE ENERGIA S.A.,49.68900378,2022,0.491921948901079
"LT 230 kV Jorge Lacerda B - Siderópolis, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,49.32257029,0,0.490747076856134
"LT 230 kV Santo Ângelo - Santa Rosa 1, C2",230,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,47.39212764,2004,0.433265947247989
"LT 230 kV Jorge Lacerda B - Siderópolis, C2",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,47.33742371,0,0.474222047087682
"LT 230 kV Fibraplac - Osório 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,47.18016928,2003,0.481905662687923
"LT 230 kV Garibaldi 1 - Lajeado III, C1",230,SE VINEYARDS TRANSMISSAO DE ENERGIA S.A.,47.17303426,2019,0.467108604905148
"LT 230 kV Atlântica - Osório 2, C1",230,"-",46.50366653,0,0.423252861199788
